id,posted_at,caption,brands
1,2026-09-18,"5am routine ☀️ @theordinary niacinamide then cerave moisturiser",The Ordinary;CeraVe
2,2026-09-15,"matcha before everything 🍵 @oatly barista is the only oat milk that foams",Oatly
3,2026-09-12,"gym fit check #gymshark leggings still going strong after 2 years",Gymshark
4,2026-09-10,"#ad loving the new Glow Serum drops, use code MAYA10",Glow Serum*
5,2026-09-08,"finished my 4th bottle of The Ordinary niacinamide. repurchase forever",The Ordinary
6,2026-09-05,"sunday reset: CeraVe SA cleanser and an early night",CeraVe
7,2026-09-02,"not sure about the new Glossier balm tbh, too sticky for me",Glossier
8,2026-08-30,"#gifted thank you @glowserum for the PR box 💛",Glow Serum*
9,2026-08-28,"rainy walk, new trainers, no brand deals just vibes #ootd #fashion",
10,2026-08-25,"my go-to lip combo: Fenty gloss bomb over a Rare Beauty liner",Fenty Beauty;Rare Beauty
11,2026-08-22,"paid partnership with Sephora: shopping my fave summer SPFs",Sephora*
12,2026-08-20,"coffee in the park ☕ #mondaymotivation #skincare",
13,2026-08-18,"honestly obsessed with @drunkelephant bronzing drops",Drunk Elephant
14,2026-08-15,"lululemon align leggings are worth every penny, fight me",Lululemon
15,2026-08-12,"my bag essentials: kindle, lip balm, headphones",
16,2026-08-10,"trying the viral Olaplex No.3 on my bleached ends, update in a week",Olaplex
17,2026-08-08,"use my code DANI15 at gymshark for 15% off 💪",Gymshark*
18,2026-08-05,"paula's choice BHA changed my skin texture, not sponsored!",Paula's Choice
19,2026-08-02,"airport outfit: nike dunks and an oversized hoodie",Nike
20,2026-07-30,"cerave hydrating cleanser is still my number one",CeraVe
21,2026-07-28,"skincare shelf tour 🧴 the ordinary, cerave, la roche posay",The Ordinary;CeraVe;La Roche-Posay
22,2026-07-25,"new phone who dis 📱 the camera on this iPhone is unreal @apple",Apple
23,2026-07-22,"road trip snacks!! nothing beats a cold oatly iced coffee",Oatly
24,2026-07-20,"in partnership with Brightbrew: my morning cold brew ritual",Brightbrew*
25,2026-07-18,"LRP anthelios is the only SPF that doesn't sting my eyes",La Roche-Posay
26,2026-07-15,"workout diaries day 12, legs are dead 😵",
27,2026-07-12,"glossier you perfume, my signature scent for three years now",Glossier
28,2026-07-10,"affiliate link in bio for my fave Olaplex bond oil",Olaplex*
29,2026-07-08,"#gymshark vital seamless set in the new colour 😍",Gymshark
30,2026-07-05,"tried the drunk elephant protini cream, broke me out unfortunately",Drunk Elephant
31,2026-07-02,"what I eat in a day: overnight oats, a big salad, pasta",
32,2026-06-30,"@fentybeauty pro filt'r foundation shade 240 is my perfect match",Fenty Beauty
33,2026-06-28,"#sponsored by Nova Audio: my new daily headphones",Nova Audio*
34,2026-06-25,"rare beauty blush, one dot is enough, I promise",Rare Beauty
35,2026-06-22,"the ordinary peeling solution every sunday, no regrets",The Ordinary
36,2026-06-20,"beach day essentials 🏖️ SPF, hat, a good book",
37,2026-06-18,"thank you Sephora for having me at the event! #gifted",Sephora*
38,2026-06-15,"can't stop wearing my nike pegasus on long runs",Nike
39,2026-06-12,"cerave vs la roche posay moisturiser: which one wins?",CeraVe;La Roche-Posay
40,2026-06-10,"new hair who dis 💇‍♀️ salon day",
41,2026-06-08,"lululemon belt bag goes everywhere with me",Lululemon
42,2026-06-05,"paula's choice vitamin c didn't do much for me honestly",Paula's Choice
43,2026-06-02,"iced matcha with oatly, the summer staple",Oatly
44,2026-05-30,"brand trip with @glowserum to Lisbon!! (hosted) #ad",Glow Serum*
45,2026-05-28,"my apple watch keeps me honest about my step count",Apple
46,2026-05-25,"GRWM: the ordinary serum foundation + rare beauty highlighter",The Ordinary;Rare Beauty
47,2026-05-22,"meal prep sunday 🥗 #healthy #mealprep",
48,2026-05-20,"obsessed with this @glossier cloud paint shade in beam",Glossier
49,2026-05-18,"gymshark haul, not sponsored, just love their stuff",Gymshark
50,2026-05-15,"bought the olaplex no.4 shampoo after my stylist recommended it",Olaplex
